# x y u(x,y) v(x,y)
-0.96 0.45 0.0214964 1.63714e-05
-0.96 0.46 0.0168964 1.31137e-05
-0.96 0.47 0.0121965 9.84451e-06
-0.96 0.48 0.0073965 6.56697e-06
-0.96 0.49 0.0024965 3.28437e-06

-0.95 -0.5 0.00246661 -0
-0.95 -0.49 0.00736663 3.33453e-06
-0.95 -0.48 0.0121667 6.66431e-06
-0.95 -0.47 0.0168667 9.98609e-06
-0.95 -0.46 0.0214668 1.32966e-05
-0.95 -0.45 0.0259669 1.65926e-05
-0.95 -0.44 0.030367 1.98709e-05
-0.95 -0.43 0.0346671 2.31283e-05
-0.95 -0.42 0.0388673 2.63616e-05
-0.95 -0.41 0.0429674 2.95677e-05
-0.95 -0.4 0.0469676 3.27434e-05
-0.95 -0.39 0.0508678 3.58856e-05
-0.95 -0.38 0.054668 3.89912e-05
-0.95 -0.37 0.0583682 4.20573e-05
-0.95 -0.36 0.0619684 4.50808e-05
-0.95 -0.35 0.0654686 4.80588e-05
-0.95 -0.34 0.0688689 5.09883e-05
-0.95 -0.33 0.0721692 5.38667e-05
-0.95 -0.32 0.0753695 5.66909e-05
-0.95 -0.31 0.0784698 5.94583e-05
-0.95 -0.3 0.0814701 6.21663e-05
-0.95 -0.29 0.0843704 6.4812e-05
-0.95 -0.28 0.0871707 6.73931e-05
-0.95 -0.27 0.0898711 6.99069e-05
-0.95 -0.26 0.0924714 7.2351e-05
-0.95 -0.25 0.0949718 7.47231e-05
-0.95 -0.24 0.0973722 7.70208e-05
-0.95 -0.23 0.0996726 7.92419e-05
-0.95 -0.22 0.101873 8.13843e-05
-0.95 -0.21 0.103973 8.34458e-05
-0.95 -0.2 0.105974 8.54244e-05
-0.95 -0.19 0.107874 8.73183e-05
-0.95 -0.18 0.109675 8.91256e-05
-0.95 -0.17 0.111375 9.08445e-05
-0.95 -0.16 0.112976 9.24735e-05
-0.95 -0.15 0.114476 9.40107e-05
-0.95 -0.14 0.115877 9.54549e-05
-0.95 -0.13 0.117177 9.68046e-05
-0.95 -0.12 0.118378 9.80585e-05
-0.95 -0.11 0.119478 9.92154e-05
-0.95 -0.1 0.120479 0.000100274
-0.95 -0.09 0.121379 0.000101234
-0.95 -0.08 0.12218 0.000102093
-0.95 -0.07 0.12288 0.000102852
-0.95 -0.06 0.123481 0.000103509
-0.95 -0.05 0.123981 0.000104064
-0.95 -0.04 0.124382 0.000104515
-0.95 -0.03 0.124682 0.000104864
-0.95 -0.02 0.124883 0.000105109
-0.95 -0.01 0.124983 0.000105251
-0.95 0 0.124984 0.000105288
-0.95 0.01 0.124884 0.000105222
-0.95 0.02 0.124685 0.000105052
-0.95 0.03 0.124385 0.000104778
-0.95 0.04 0.123986 0.000104401
-0.95 0.05 0.123486 0.000103921
-0.95 0.06 0.122887 0.000103338
-0.95 0.07 0.122187 0.000102654
-0.95 0.08 0.121388 0.000101868
-0.95 0.09 0.120488 0.000100982
-0.95 0.1 0.119489 9.99969e-05
-0.95 0.11 0.118389 9.8913e-05
-0.95 0.12 0.11719 9.77318e-05
-0.95 0.13 0.11589 9.64543e-05
-0.95 0.14 0.114491 9.5082e-05
-0.95 0.15 0.112991 9.36161e-05
-0.95 0.16 0.111392 9.20581e-05
-0.95 0.17 0.109692 9.04097e-05
-0.95 0.18 0.107892 8.86724e-05
-0.95 0.19 0.105993 8.6848e-05
-0.95 0.2 0.103993 8.49383e-05
-0.95 0.21 0.101894 8.29452e-05
-0.95 0.22 0.0996941 8.08708e-05
-0.95 0.23 0.0973945 7.87171e-05
-0.95 0.24 0.0949949 7.64862e-05
-0.95 0.25 0.0924953 7.41805e-05
-0.95 0.26 0.0898956 7.18021e-05
-0.95 0.27 0.087196 6.93536e-05
-0.95 0.28 0.0843963 6.68372e-05
-0.95 0.29 0.0814966 6.42556e-05
-0.95 0.3 0.0784969 6.16114e-05
-0.95 0.31 0.0753972 5.89071e-05
-0.95 0.32 0.0721975 5.61455e-05
-0.95 0.33 0.0688977 5.33293e-05
-0.95 0.34 0.065498 5.04614e-05
-0.95 0.35 0.0619982 4.75446e-05
-0.95 0.36 0.0583984 4.45819e-05
-0.95 0.37 0.0546986 4.15761e-05
-0.95 0.38 0.0508988 3.85304e-05
-0.95 0.39 0.046999 3.54477e-05
-0.95 0.4 0.0429991 3.23312e-05
-0.95 0.41 0.0388993 2.91839e-05
-0.95 0.42 0.0346994 2.6009e-05
-0.95 0.43 0.0303995 2.28096e-05
-0.95 0.44 0.0259996 1.9589e-05
-0.95 0.45 0.0214997 1.63503e-05
-0.95 0.46 0.0168997 1.30969e-05
-0.95 0.47 0.0121998 9.83185e-06
-0.95 0.48 0.00739978 6.55852e-06
-0.95 0.49 0.00249979 3.28015e-06

-0.94 -0.5 0.00246327 -0
-0.94 -0.49 0.0073633 3.3297e-06
-0.94 -0.48 0.0121633 6.65466e-06
-0.94 -0.47 0.0168634 9.97162e-06
-0.94 -0.46 0.0214635 1.32774e-05
-0.94 -0.45 0.0259636 1.65686e-05
-0.94 -0.44 0.0303637 1.98422e-05
-0.94 -0.43 0.0346639 2.30949e-05
-0.94 -0.42 0.038864 2.63235e-05
-0.94 -0.41 0.0429642 2.95249e-05
-0.94 -0.4 0.0469644 3.2696e-05
-0.94 -0.39 0.0508647 3.58336e-05
-0.94 -0.38 0.0546649 3.89348e-05
-0.94 -0.37 0.0583651 4.19964e-05
-0.94 -0.36 0.0619654 4.50155e-05
-0.94 -0.35 0.0654657 4.79892e-05
-0.94 -0.34 0.068866 5.09146e-05
-0.94 -0.33 0.0721663 5.37887e-05
-0.94 -0.32 0.0753667 5.66089e-05
-0.94 -0.31 0.078467 5.93724e-05
-0.94 -0.3 0.0814674 6.20764e-05
-0.94 -0.29 0.0843678 6.47183e-05
-0.94 -0.28 0.0871682 6.72956e-05
-0.94 -0.27 0.0898686 6.98058e-05
-0.94 -0.26 0.0924691 7.22464e-05
